5161, 31000, 4, 0b28c3f0c045b9b40398446f65921a67_0
5699, 33610, 4, 006dca9b4f735b35ffac261b4e739867_4
2110, 21178, 9, 0f326c1b3bebcf1a7e5908752d4ee073_0
130, 601, 3, 053281736b16af048aff3680e2ec4e0f_0
243, 1830, 5, 04aef85f5707170503d7c1180f602209_0
214, 1433, 5, 044504cb8cd270c65dafb06a89a67dc8_0
110, 571, 3, 0d30971906ff37ef4030907dfd9b98a1_0
187, 1167, 4, 07e4c7324265b20628c24cd94a2370ba_0
1923, 17688, 8, 05f1a27269035bb62a9fef4653bad5f0_0
243, 1829, 5, 0a38a0f83887902d8fda82845d169190_0
1954, 10921, 4, 0aa5ff8c71ea547aac0913813ae40a94_0
249, 1550, 4, 05adf4ebf7ffb1329733193a1a5d4070_0
243, 1367, 4, 0e163aca29ce8b324502f61c0656a496_0
97, 701, 5, 03d0bf0d2372c0a8fec949774486996d_902
1805, 20708, 10, 055da23fd9aaf037aa4bf2606797311f_0
5283, 26648, 4, 05209b7ac4784626d2cff24645668e92_0
83, 479, 4, 06df44efe86ef1b39e2ce6c3b3932a45_8
1790, 9330, 4, 0acc81f97f453e437ccc2bd2325f98f8_23
720, 4162, 4, 0e68e75f17b9a90adb399951e076f0d8_2
243, 1831, 5, 03fee25cc7d73563b40973f8961ba29e_0
78, 387, 3, 018bffbc6ba571e8ee41f46bc8255b3f_147
1838, 9444, 3, 0fec2040e380434ac5781f53fca987f6_51
3674, 22677, 4, 06990463c335aeb51274b6c5aa210955_3
121, 693, 4, 0f25c88646bb82bba7e0289916757dbd_474
2728, 13004, 4, 061a739b4238f5eb7897ed24a737c256_2
2065, 13247, 5, 0c80cd28207edb2656c70b1ae4ff3d23_0
1821, 9530, 4, 0de4363817fea544a93bcf6cd7172358_4
108, 621, 4, 09dc63fe9abc61c6b2d1482c66e61a2d_11
2823, 25683, 5, 026c3d2a57036e11de0a35cb5fcbddcc_0
1482, 8030, 4, 01296b5bc24f6d4f0b70cadf87f2e8ea_0
120, 679, 4, 035cc0ccbc904828386a6155fe25e808_314
29645, 184187, 3, 0147fbbccf51309995012b1964d6c077_9
3134, 18329, 4, 0baec4d8de3d4341fbe76611df3673b1_0
196, 1014, 4, 0aca84880888d0af9d850a2e59cbc6fc_53
134, 782, 4, 03583c7436b7ffc2f11716179a2d8336_1
102, 572, 4, 0db762aba96b99de024a9fb2796bf2b8_9
304, 1675, 4, 0e8d52d4eec3911a1f5772678fc553c4_0
1980, 14966, 4, 0ca1b51a4c44dc989fd499a1290679a8_25
101, 744, 5, 0d9ac74b6f88f3b6c7d7191f51e0a132_3
105, 750, 5, 0bb6254b5803825885c47973fc90ce10_40
3907, 22837, 4, 0fc97cccc542e3c74772f584fe8193e9_158
242, 1364, 4, 02913f664addf7d9c56496a75866dd2d_124
1847, 25761, 12, 06c4a3cc18e4e70dcc318344daab9fcf_0
234, 1706, 4, 0e638da7465c34a639b127b6f4eb77be_0
3902, 22809, 4, 0d909ed777511eaafc3cdfa9d9638d35_5
1106, 6716, 4, 0debcbb846610a32a1a454a6f1cb4184_0
242, 1364, 4, 02913f664addf7d9c56496a75866dd2d_198
7918, 53414, 5, 08d73c80ce21db6bcb03827528888ce2_0
97, 701, 5, 03d0bf0d2372c0a8fec949774486996d_454
243, 1831, 5, 0a6cb44b7bde070e515b21237d255b58_0
3907, 22852, 4, 0fc97cccc542e3c74772f584fe8193e9_15
1847, 9907, 4, 00f6e7d5f25288431d366bbf8a8ac0a5_31
3909, 25441, 5, 0634f381980d35f0032b9f9966e343a7_0
7367, 41459, 4, 0b94e4ee67853b7a361af56b834f0440_0
122, 743, 4, 00d8d30768a899b8e4368483617cfc6d_111
6883, 61748, 7, 0636bdb5deddc0ae238e9bf418c57766_0
120, 679, 4, 035cc0ccbc904828386a6155fe25e808_178
429, 1996, 3, 0830d68c214195deda4c7fa1e6606aef_5
144, 780, 4, 03e1663a0590b628458ff2335ed2900f_37
161, 1002, 4, 075fce2a9cbda0951b3c2c9a7a7c554f_0
218, 1399, 4, 098dc0abb8c3e7a19c554a8ada1cd233_0
200, 1159, 4, 09eaa5622707ec562ab72b118daff988_49
1790, 9330, 4, 0acc81f97f453e437ccc2bd2325f98f8_13
1712, 9996, 4, 0d14bc7932711848a10605aa634306b5_0
2853, 17720, 4, 05ae5c82c75ab9695492518022c5b221_0
117, 589, 3, 0602dbdd0042a2f7cb085ed0798c4c21_2
108, 589, 4, 0db762aba96b99de024a9fb2796bf2b8_88
242, 1364, 4, 02913f664addf7d9c56496a75866dd2d_217
1209, 8444, 4, 0bf413f7d928cb6dd371131e70a9cf24_0
3444, 23308, 5, 0151374580566aa47acd0b7535048e6e_0
196, 1016, 4, 0aca84880888d0af9d850a2e59cbc6fc_140
1838, 9443, 3, 0fec2040e380434ac5781f53fca987f6_21
2085, 13719, 4, 05ac369d5bac05729f736c2a65e24d41_0
176, 930, 4, 09f50b611b3d8d646ccda90c96393c35_0
173, 1146, 5, 01a1cb5ca3313a58a0836cb6f3445b8a_0
120, 679, 4, 035cc0ccbc904828386a6155fe25e808_561
300, 1807, 4, 0bf77c6e16cf975c12772ef09f1555eb_0
108, 592, 4, 0db762aba96b99de024a9fb2796bf2b8_62
6213, 44490, 6, 0d6f77dac0f4ae9b700ae9454d505741_0
243, 1831, 5, 01a227e306a25b0ef79013613e6017aa_0
2995, 16664, 3, 020e7d1aec8254b479c316ea0988ee60_0
184, 1038, 4, 097add7f7c9b6ab97780cb3e84d2f0d9_53
1792, 24129, 12, 00e0e3da50eb7f36d0cc5cdfdf4b0468_0
